person_name,name,patronymic,family_name,person_id,section_id,income_year,position,department
Григорий Владимирович Трубников,Григорий,Владимирович,Трубников,60968,672547,2018,Первый заместитель министра,NULL
Марина Александровна Боровская,Марина,Александровна,Боровская,4733,672550,2018,Заместитель Министра,NULL
Наталья Александровна Бочарова,Наталья,Александровна,Бочарова,132293,672552,2018,Заместитель министра,NULL
С В Кузьмин,С,В,Кузьмин,177973,672555,2018,Заместитель министра,NULL
А М Медведев,А,М,Медведев,180627,672558,2018,Заместитель министра,NULL
Денис Анатольевич Солодовников,Денис,Анатольевич,Солодовников,11883,672563,2018,Заместитель министра,NULL
Александр Владимирович Степанов,Александр,Владимирович,Степанов,11984,672565,2018,Заместитель министра,NULL
М Б Лукашевич,М,Б,Лукашевич,180130,672567,2018,Статс-секретарь-заместитель министра,NULL
А В Архипов,А,В,Архипов,355307,672569,2018,Помощник министра,NULL
Биткова Р.Х.,NULL,NULL,NULL,NULL,672571,2018,Помощник министра-пресс секретарь,NULL
Журавлева Е.В.,NULL,NULL,NULL,NULL,672573,2018,Помощник министра,NULL
И Б Русаков,И,Б,Русаков,370269,672575,2018,Помощник министра,NULL
А В Аникеев,А,В,Аникеев,173240,672578,2018,Заместитель директора,NULL
Олег Александрович Арбузов,Олег,Александрович,Арбузов,19214,672580,2018,Заместитель директора Департамента,
Рустам Айдиевич Айдиев,Рустам,Айдиевич,Айдиев,40356,672582,2018,Заместитель директора Департамента,
Вугар Алиевич Багиров,Вугар,Алиевич,Багиров,40327,672586,2018,Директор Департамента,NULL
Е Г Бабелюк,Е,Г,Бабелюк,174194,672588,2018,Директор Департамента,NULL
Михаил Михайлович Котюков,Михаил,Михайлович,Котюков,5449,672591,2018,Министр,NULL
М Р Бечвая,М,Р,Бечвая,174195,672592,2018,Заместитель директора Департамента,NULL
Тимур Леонидович Броницкий,Тимур,Леонидович,Броницкий,128981,672595,2018,Директор Департамента,NULL
Екатерина Евгеньевна Буртоликова,Екатерина,Евгеньевна,Буртоликова,40338,672598,2018,Заместитель директора Департамента,NULL
В Б Бучина,В,Б,Бучина,174196,672601,2018,Заместитель директора Департамента,NULL
И Н Ганьшин,И,Н,Ганьшин,175898,672602,2018,Директор Департамента,NULL
Марина А. Герцен,Марина,А.,Герцен,128982,672604,2018,Заместитель директора Департамента,NULL
Марина Александровна Говорушко,Марина,Александровна,Говорушко,40354,672605,2018,Заместитель директора Департамента,NULL
Н И Голубева,Н,И,Голубева,175899,672607,2018,Заместитель директора Департамента,NULL
Елена Михайловна Горожанкина,Елена,Михайловна,Горожанкина,360086,672609,2018,Заместитель директора Департамента,
В В Гришкин,В,В,Гришкин,175900,672610,2018,Заместитель директора Департамента,NULL
Е М Грудинина,Е,М,Грудинина,175901,672612,2018,Заместитель директора Департамента,NULL
Н М Деликова,Н,М,Деликова,176388,672614,2018,Заместитель директора Департамента,NULL
Г В Егоров,Г,В,Егоров,176619,672615,2018,Заместитель директора Департамента,NULL
Людмила Евгеньевна Ерошенко,Людмила,Евгеньевна,Ерошенко,40332,672617,2018,Заместитель директора Департамента,NULL
С В Есин,С,В,Есин,176769,672619,2018,Заместитель директора Департамента,NULL
